"DBN","school_name","Num of SAT Test Takers","SAT Critical Reading Avg. Score","SAT Math Avg. Score","SAT Writing Avg. Score","avg_sat_score","AP Test Takers","Total Exams Taken","Number of Exams with scores 3 4 or 5","exams_per_student","high_score_percent","CSD","SCHOOL CODE","avg_class_size","avg_largest_class","avg_smallest_class","frl_percent","ell_percent","sped_percent","asian_per","black_per","hispanic_per","white_per","male_per","female_per","total_enrollment","Total Grads - % of cohort","Dropped Out - % of cohort","lat","long"
"01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",29,355,404,363,1122,NA,NA,NA,NA,NA,1,"M292",22.5642857142857,26.5714285714286,18.5,88.6,22.3,24.9,14,29.1,53.8,1.7,61.4,38.6,422,55.1,14.1,40.7137639470005,-73.9852600399997
"01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",91,383,423,366,1172,39,49,10,1.25641025641026,20.4081632653061,1,"M448",22.23125,27.0625,18.25,71.8,21.1,21.8,29.2,22.6,45.9,2.3,57.4,42.6,394,42.7,16.1,40.7123318510005,-73.9847966249997
"01M450","EAST SIDE COMMUNITY SCHOOL",70,377,402,370,1149,19,21,NA,1.10526315789474,NA,1,"M450",21.2,22.8666666666667,19.4,71.8,5,26.4,9.7,23.9,55.4,10.4,54.7,45.3,598,77.8,5.6,40.7297826870005,-73.9830414409997
"01M458","FORSYTH SATELLITE ACADEMY",7,414,401,359,1174,NA,NA,NA,NA,NA,1,"M458",23,23.4,22.6,72.8,4,8.9,2.2,34.4,59.4,3.6,43.3,56.7,224,NA,NA,NA,NA
"01M509","MARTA VALLE HIGH SCHOOL",44,390,433,384,1207,NA,NA,NA,NA,NA,1,"M509",23.5714285714286,27.3571428571429,20,80.7,11.2,25.9,9.3,31.6,56.9,1.6,46.3,53.7,367,56,6,40.7205690790005,-73.9856726909996
"01M515","LOWER EAST SIDE PREPARATORY HIGH SCHOOL",112,332,557,316,1205,24,26,24,1.08333333333333,92.3076923076923,1,"M515",22.8764705882353,28.5882352941176,15.7647058823529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.4,18.1,NA,NA
"01M539","NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522,574,525,1621,255,377,191,1.47843137254902,50.6631299734748,1,"M539",25.5105263157895,31.2105263157895,19.4736842105263,23,0.2,2.7,27.8,11.7,14.2,44.9,49.2,50.8,1613,100,0,40.7187254510005,-73.9794263859997
"01M650","CASCADES HIGH SCHOOL",18,417,418,411,1246,NA,NA,NA,NA,NA,1,"M650",21.78125,24.75,18.6875,69.8,3.2,6.9,0.5,45.4,49.5,4.1,39.9,60.1,218,55.1,6.7,NA,NA
"01M696","BARD HIGH SCHOOL EARLY COLLEGE",130,624,604,628,1856,NA,NA,NA,NA,NA,1,"M696",20.975,24.25,17.1666666666667,18,0.2,0.8,15.1,15.1,18.2,49.8,31.3,68.7,617,96.4,0.7,40.7189616170004,-73.9760660209997
"02M047","47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL",16,395,400,387,1182,NA,NA,NA,NA,NA,2,"M047",16.0727272727273,17.0909090909091,15.0909090909091,66.9,8,32.2,1.7,32.2,59.2,6.3,42.5,57.5,174,76,4,40.7385990870005,-73.9825119109997
"02M288","FOOD AND FINANCE HIGH SCHOOL",62,409,393,392,1194,NA,NA,NA,NA,NA,2,"M288",22.6833333333333,26.1666666666667,19.3333333333333,68.4,2.1,18.5,3,44.1,47.6,4.8,45,55,433,89.2,2.9,40.7650267080005,-73.9925165779997
"02M294","ESSEX STREET ACADEMY",53,394,384,378,1156,NA,NA,NA,NA,NA,2,"M294",14.9,17.8571428571429,12.2857142857143,60.8,3.8,20.4,4.1,27.7,60.6,7.6,53.4,46.6,343,71.9,10.1,40.7168672240004,-73.9895319429996
"02M296","HIGH SCHOOL OF HOSPITALITY MANAGEMENT",58,374,375,362,1111,NA,NA,NA,NA,NA,2,"M296",22.9642857142857,27.5714285714286,16.2142857142857,72.4,9.5,14.8,5.3,26.5,66.1,2.1,32.2,67.8,419,77.3,6.7,40.7650267080005,-73.9925165779997
"02M298","PACE HIGH SCHOOL",85,423,438,432,1293,21,21,NA,1,NA,2,"M298",21.3125,25.0625,18,56.7,2.2,13.8,10.1,32.4,42,3.9,43.7,56.3,414,84.8,4.3,40.7164123930005,-73.9926758439997
"02M300","URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48,404,449,416,1269,99,117,10,1.18181818181818,8.54700854700855,2,"M300",22.6416666666667,27.5833333333333,18.1666666666667,75.3,10.9,20,6,29.2,59.2,4.9,74.9,25.1,431,61.3,8.8,40.7650267080005,-73.9925165779997
"02M303","FACING HISTORY SCHOOL, THE",76,353,358,340,1051,42,44,NA,1.04761904761905,NA,2,"M303",21.85,26.1666666666667,18.5,75.6,20.8,21.7,0.7,23.5,73.2,2.4,50.6,49.4,451,47.9,19.7,40.7650267080005,-73.9925165779997
"02M305","URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,375,388,385,1148,25,37,15,1.48,40.5405405405405,2,"M305",20.8,24,17.625,68.3,6.1,17,3.8,41.7,50.6,3.5,43.9,56.1,312,75.4,16.4,40.7168672240004,-73.9895319429996
"02M308","LOWER MANHATTAN ARTS ACADEMY",40,403,392,405,1200,NA,NA,NA,NA,NA,2,"M308",23.25,26,20.75,62.2,3.9,24.7,9.5,30.7,55.7,3.6,39.9,60.1,336,67.6,8.8,40.7168672240004,-73.9895319429996
"02M313","JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",69,408,390,390,1188,NA,NA,NA,NA,NA,2,"M313",21.9214285714286,24.0714285714286,19.7857142857143,51,4.8,12.9,4,34.3,54.4,6.5,52.4,47.6,248,51.9,15.2,NA,NA
"02M316","URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",42,373,370,384,1127,NA,NA,NA,NA,NA,2,"M316",26.3166666666667,27.75,23.5,74.9,2.6,15.6,3.4,46.8,48.4,1.3,0,100,378,73.6,5.6,40.7052349390005,-74.0133150399997
"02M374","GRAMERCY ARTS HIGH SCHOOL",60,391,391,394,1176,NA,NA,NA,NA,NA,2,"M374",27.2071428571429,30.5714285714286,22.8571428571429,59,3,12.3,2.8,45.3,45.1,6.7,26.3,73.7,495,73.1,7.5,40.7355194630005,-73.9876042489997
"02M376","NYC ISCHOOL",92,473,483,479,1435,NA,NA,NA,NA,NA,2,"M376",37.0230769230769,50.6923076923077,25.8461538461538,34.6,0.5,10.9,11.5,20.6,43,24,48.7,51.3,433,NA,NA,40.7243528740005,-74.0047592919997
"02M392","MANHATTAN BUSINESS ACADEMY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"M392",25.2571428571429,27,23.4285714285714,64,9.9,13.9,6.6,29.5,58.7,4.8,59,41,332,NA,NA,40.7428881010005,-74.0021273809996
"02M393","BUSINESS OF SPORTS SCHOOL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"M393",22.1285714285714,26.4285714285714,16.1428571428571,58.7,7.6,21.4,1.6,35.5,57.2,4.3,72.4,27.6,304,NA,NA,40.7633617320005,-73.9905090909997
"02M394","EMMA LAZARUS HIGH SCHOOL",79,319,512,357,1188,NA,NA,NA,NA,NA,2,"M394",24.7,31.7,16.5,97,82.8,0,62.4,7.2,26.4,4,51.2,48.8,250,NA,NA,NA,NA
"02M399","THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"M399",17.8545454545455,24,14.0909090909091,80.8,28.3,16.8,44.3,15.6,32.8,5.3,48,52,244,NA,NA,40.7355194630005,-73.9876042489997
"02M400","HIGH SCHOOL FOR ENVIRONMENTAL STUDIES",263,465,493,461,1419,213,298,152,1.39906103286385,51.006711409396,2,"M400",30.58,34.6,21.8,56.4,7.1,14.4,16.7,14.8,57.2,11.1,50.4,49.6,1394,74.4,6.3,40.7677624390005,-73.9875112139997
"02M407","INSTITUTE FOR COLLABORATIVE EDUCATION",54,492,465,467,1424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9,0.4,8.8,6.3,10.2,17.6,54.6,55.2,44.8,489,76.4,3.6,40.7324853780005,-73.9830533879996
